# wavelength flux error
3.20009e+03 -1.82192e-17 1.10563e-17
3.20409e+03 1.28704e-17 9.47011e-18
3.20809e+03 6.45729e-17 9.47342e-18
3.21210e+03 7.19218e-17 9.41739e-18
3.21610e+03 7.34221e-17 8.31972e-18
3.22010e+03 3.91976e-17 7.30182e-18
3.22410e+03 6.38309e-17 7.33318e-18
3.22810e+03 1.88418e-17 6.86667e-18
3.23210e+03 2.52087e-17 6.23540e-18
3.23610e+03 3.39497e-17 5.95097e-18
3.24010e+03 6.79039e-17 5.55352e-18
3.24410e+03 5.35185e-17 5.51766e-18
3.24810e+03 7.00924e-17 5.31146e-18
3.25210e+03 5.14331e-17 5.47853e-18
3.25610e+03 3.43525e-17 5.30856e-18
3.26010e+03 5.70890e-17 5.17742e-18
3.26411e+03 5.33459e-17 5.40044e-18
3.26811e+03 8.59593e-17 5.20046e-18
3.27211e+03 5.45194e-17 5.27638e-18
3.27611e+03 4.27363e-17 5.28436e-18
3.28011e+03 3.80163e-17 5.22565e-18
3.28411e+03 2.27767e-17 5.43271e-18
3.28811e+03 2.36769e-17 5.32401e-18
3.29211e+03 1.59420e-17 5.47181e-18
3.29611e+03 1.51674e-17 6.03039e-18
3.30011e+03 5.93073e-18 5.86470e-18
3.30411e+03 1.47278e-17 5.52284e-18
3.30811e+03 1.69072e-17 5.81573e-18
3.31211e+03 2.67005e-18 5.53904e-18
3.31611e+03 2.31125e-17 5.47516e-18
3.32012e+03 1.82799e-17 5.74175e-18
3.32412e+03 5.65813e-17 5.14307e-18
3.32812e+03 5.78081e-17 5.33055e-18
3.33212e+03 4.52629e-17 5.03795e-18
3.33612e+03 4.57736e-17 4.75147e-18
3.34012e+03 5.87511e-17 4.34654e-18
3.34412e+03 7.33887e-17 4.11326e-18
3.34812e+03 3.45375e-17 3.75667e-18
3.35212e+03 4.70548e-17 3.62272e-18
3.35612e+03 8.53661e-17 3.34847e-18
3.36012e+03 5.93161e-17 3.44608e-18
3.36412e+03 6.15259e-17 3.31627e-18
3.36812e+03 6.40311e-17 3.68146e-18
3.37213e+03 5.94146e-17 3.65708e-18
3.37613e+03 6.81660e-17 3.49469e-18
3.38013e+03 4.08934e-17 3.18979e-18
3.38413e+03 5.96190e-17 3.03599e-18
3.38813e+03 5.61190e-17 2.94761e-18
3.39213e+03 5.59589e-17 2.94770e-18
3.39613e+03 5.96267e-17 2.80830e-18
3.40013e+03 6.13056e-17 2.73845e-18
3.40413e+03 6.81781e-17 2.57565e-18
3.40813e+03 4.67400e-17 2.69294e-18
3.41213e+03 8.27630e-17 2.52277e-18
3.41613e+03 7.61138e-17 2.69310e-18
3.42013e+03 5.67142e-17 2.80953e-18
3.42413e+03 6.40689e-17 2.70755e-18
3.42814e+03 7.24612e-17 2.83333e-18
3.43214e+03 8.21121e-17 2.82050e-18
3.43614e+03 6.72754e-17 3.05817e-18
3.44014e+03 7.50507e-17 2.91266e-18
3.44414e+03 5.75839e-17 2.88738e-18
3.44814e+03 6.64692e-17 3.06184e-18
3.45214e+03 8.38450e-17 3.32307e-18
3.45614e+03 7.52685e-17 3.18228e-18
3.46014e+03 6.61592e-17 3.18682e-18
3.46414e+03 7.22088e-17 3.14356e-18
3.46814e+03 6.13745e-17 3.13286e-18
3.47214e+03 6.86287e-17 3.21743e-18
3.47614e+03 6.49676e-17 2.88951e-18
3.48015e+03 4.97162e-17 3.25447e-18
3.48415e+03 8.15115e-17 3.15989e-18
3.48815e+03 7.31444e-17 2.97409e-18
3.49215e+03 5.98902e-17 2.77490e-18
3.49615e+03 7.33976e-17 2.55990e-18
3.50015e+03 6.24938e-17 2.26497e-18
3.50415e+03 6.29348e-17 2.34493e-18
3.50815e+03 6.79454e-17 2.27033e-18
3.51215e+03 7.38406e-17 2.19133e-18
3.51615e+03 8.58338e-17 2.14303e-18
3.52015e+03 8.32752e-17 1.98931e-18
3.52415e+03 7.28122e-17 1.98571e-18
3.52815e+03 7.14620e-17 1.81843e-18
3.53215e+03 7.34384e-17 1.78213e-18
3.53616e+03 7.60544e-17 1.64501e-18
3.54016e+03 6.10525e-17 1.80562e-18
3.54416e+03 6.43920e-17 2.01049e-18
3.54816e+03 7.50070e-17 1.97510e-18
3.55216e+03 6.36157e-17 1.94757e-18
3.55616e+03 6.85293e-17 1.92700e-18
3.56016e+03 7.07440e-17 1.87787e-18
3.56416e+03 7.44754e-17 1.68792e-18
3.56816e+03 7.05839e-17 1.55418e-18
3.57216e+03 6.58586e-17 1.59778e-18
3.57616e+03 6.89196e-17 1.55154e-18
3.58016e+03 6.49349e-17 1.51342e-18
3.58416e+03 6.92324e-17 1.58021e-18
3.58817e+03 6.22108e-17 1.53567e-18
3.59217e+03 7.27824e-17 1.56276e-18
3.59617e+03 6.27822e-17 1.62287e-18
3.60017e+03 7.81508e-17 1.53232e-18
3.60417e+03 7.04051e-17 1.75278e-18
3.60817e+03 6.86431e-17 1.66332e-18
3.61217e+03 8.10853e-17 1.68613e-18
3.61617e+03 7.34139e-17 1.74655e-18
3.62017e+03 6.96628e-17 1.81335e-18
3.62417e+03 7.62984e-17 1.79343e-18
3.62817e+03 5.96589e-17 1.67257e-18
3.63217e+03 5.74756e-17 1.83378e-18
3.63617e+03 6.19529e-17 1.71758e-18
3.64017e+03 5.34676e-17 1.66874e-18
3.64418e+03 5.31106e-17 1.53162e-18
3.64818e+03 6.13901e-17 1.51193e-18
3.65218e+03 5.85533e-17 1.42046e-18
3.65618e+03 6.09020e-17 1.39357e-18
3.66018e+03 5.18799e-17 1.27586e-18
3.66418e+03 5.83449e-17 1.28859e-18
3.66818e+03 5.12029e-17 1.12983e-18
3.67218e+03 6.48249e-17 1.21346e-18
3.67618e+03 5.68931e-17 9.80245e-19
3.68018e+03 5.15279e-17 1.04651e-18
3.68418e+03 5.46200e-17 9.66625e-19
3.68818e+03 5.08506e-17 9.59195e-19
3.69218e+03 5.69281e-17 9.44129e-19
3.69619e+03 5.10486e-17 8.95135e-19
3.70019e+03 5.21617e-17 9.41274e-19
3.70419e+03 4.22526e-17 9.53212e-19
3.70819e+03 5.78458e-17 8.67700e-19
3.71219e+03 5.36963e-17 8.30851e-19
3.71619e+03 5.35407e-17 8.61650e-19
3.72019e+03 5.60030e-17 7.59751e-19
3.72419e+03 5.56752e-17 7.88181e-19
3.72819e+03 5.67988e-17 8.43808e-19
3.73219e+03 5.13128e-17 8.18953e-19
3.73619e+03 5.01351e-17 8.20135e-19
3.74019e+03 5.28273e-17 8.97457e-19
3.74419e+03 5.09708e-17 8.40972e-19
3.74819e+03 5.00792e-17 7.94874e-19
3.75220e+03 5.13669e-17 8.02115e-19
3.75620e+03 5.21071e-17 1.00967e-18
3.76020e+03 5.57276e-17 8.20076e-19
3.76420e+03 5.51292e-17 7.54471e-19
3.76820e+03 5.42122e-17 7.57155e-19
3.77220e+03 5.44815e-17 8.36584e-19
3.77620e+03 5.17944e-17 8.19526e-19
3.78020e+03 4.65588e-17 8.36615e-19
3.78420e+03 4.16860e-17 8.50676e-19
3.78820e+03 4.58264e-17 8.30792e-19
3.79220e+03 5.27213e-17 9.31662e-19
3.79620e+03 5.80051e-17 8.68857e-19
3.80020e+03 5.34193e-17 9.22106e-19
3.80421e+03 5.44431e-17 8.87245e-19
3.80821e+03 4.88489e-17 8.80266e-19
3.81221e+03 5.79377e-17 9.09528e-19
3.81621e+03 5.20985e-17 9.68889e-19
3.82021e+03 5.43390e-17 9.71941e-19
3.82421e+03 5.64649e-17 9.14017e-19
3.82821e+03 4.76369e-17 9.56184e-19
3.83221e+03 5.67880e-17 9.53551e-19
3.83621e+03 4.95921e-17 9.47910e-19
3.84021e+03 5.10324e-17 9.02516e-19
3.84421e+03 5.26535e-17 8.47335e-19
3.84821e+03 4.60676e-17 8.56410e-19
3.85221e+03 5.35159e-17 7.78548e-19
3.85621e+03 4.73877e-17 7.44838e-19
3.86022e+03 5.18277e-17 7.59256e-19
3.86422e+03 4.86855e-17 7.88430e-19
