# wavelength flux error
3.20059e+03 9.53693e-18 2.52828e-17
3.20159e+03 2.20681e-17 2.02885e-17
3.20259e+03 3.81651e-17 1.77706e-17
3.20359e+03 -9.83328e-18 1.95496e-17
3.20459e+03 -4.19291e-17 2.05257e-17
3.20559e+03 4.94070e-17 1.82768e-17
3.20659e+03 1.54649e-16 1.91047e-17
3.20759e+03 8.94895e-17 1.81172e-17
3.20859e+03 -4.72237e-17 1.69098e-17
3.20960e+03 1.01301e-16 2.31935e-17
3.21060e+03 1.21532e-16 1.91852e-17
3.21160e+03 7.77116e-17 1.95144e-17
3.21260e+03 1.01067e-16 1.93600e-17
3.21360e+03 2.16155e-18 1.75016e-17
3.21460e+03 4.82484e-17 1.85027e-17
3.21560e+03 5.45250e-17 1.48904e-17
3.21660e+03 3.16370e-17 1.86682e-17
3.21760e+03 1.40624e-16 1.55294e-17
3.21860e+03 9.16791e-17 1.54259e-17
3.21960e+03 2.14676e-17 1.49835e-17
3.22060e+03 3.48372e-17 1.34232e-17
3.22160e+03 1.33971e-17 1.48261e-17
3.22260e+03 1.03856e-16 1.87118e-17
3.22360e+03 4.70223e-17 1.45165e-17
3.22460e+03 6.04312e-17 1.25940e-17
3.22560e+03 6.10346e-17 1.46028e-17
3.22660e+03 4.01560e-17 1.57205e-17
3.22760e+03 3.16403e-17 1.34453e-17
3.22860e+03 -4.53173e-18 1.30040e-17
3.22960e+03 1.55491e-17 1.32258e-17
3.23060e+03 6.66010e-18 1.49581e-17
3.23160e+03 3.09292e-17 1.12422e-17
3.23260e+03 2.50192e-17 1.31096e-17
3.23360e+03 3.03607e-17 1.15318e-17
3.23460e+03 4.79194e-17 1.27700e-17
3.23560e+03 1.68975e-17 1.20871e-17
3.23660e+03 6.59589e-17 1.16498e-17
3.23760e+03 8.00007e-18 1.12565e-17
3.23860e+03 2.51119e-17 1.13651e-17
3.23960e+03 6.93061e-17 1.12967e-17
3.24060e+03 6.69635e-17 1.11093e-17
3.24160e+03 1.05411e-16 1.06947e-17
3.24260e+03 7.19579e-17 1.14350e-17
3.24360e+03 4.31722e-17 1.09439e-17
3.24460e+03 5.87014e-17 1.06393e-17
3.24560e+03 4.09896e-17 1.11698e-17
3.24660e+03 4.16353e-17 1.02269e-17
3.24760e+03 7.76283e-17 1.06074e-17
3.24860e+03 7.68879e-17 1.07900e-17
3.24960e+03 8.75434e-17 1.09054e-17
3.25060e+03 3.74629e-17 1.10022e-17
3.25160e+03 6.74880e-17 1.11898e-17
3.25260e+03 1.62844e-17 1.09245e-17
3.25360e+03 8.38467e-17 1.07268e-17
3.25460e+03 3.61799e-17 1.10481e-17
3.25560e+03 6.41956e-18 1.07211e-17
3.25660e+03 5.93509e-17 9.91251e-18
3.25760e+03 3.12186e-17 1.09010e-17
3.25860e+03 6.74105e-17 1.13054e-17
3.25960e+03 4.84100e-17 1.05372e-17
3.26060e+03 1.09443e-16 1.06467e-17
3.26160e+03 1.72318e-17 9.26358e-18
3.26260e+03 7.54992e-17 1.14199e-17
3.26361e+03 2.59329e-17 1.09336e-17
3.26461e+03 6.48554e-17 9.95346e-18
3.26561e+03 4.63946e-17 1.10693e-17
3.26661e+03 4.77530e-17 1.07463e-17
3.26761e+03 8.93180e-17 9.40424e-18
3.26861e+03 1.20487e-16 1.06196e-17
3.26961e+03 8.43258e-17 1.10823e-17
3.27061e+03 4.82587e-17 1.00608e-17
3.27161e+03 3.67329e-17 1.02476e-17
3.27261e+03 4.57982e-17 1.11600e-17
3.27361e+03 9.00112e-17 1.08542e-17
3.27461e+03 7.97248e-17 1.02362e-17
3.27561e+03 1.14258e-18 1.16918e-17
3.27661e+03 4.76859e-17 1.08130e-17
3.27761e+03 3.39778e-17 9.80638e-18
3.27861e+03 4.10522e-17 9.96155e-18
3.27961e+03 3.05665e-17 9.69905e-18
3.28061e+03 6.89105e-17 1.11679e-17
3.28161e+03 1.27963e-17 1.12546e-17
3.28261e+03 1.77180e-17 1.24571e-17
3.28361e+03 3.68045e-17 1.12202e-17
3.28461e+03 2.32318e-17 9.20448e-18
3.28561e+03 1.18291e-17 1.14026e-17
3.28661e+03 2.40788e-17 1.10679e-17
3.28761e+03 -1.21191e-18 1.15628e-17
3.28861e+03 3.91336e-17 1.05530e-17
3.28961e+03 2.78135e-17 9.68676e-18
3.29061e+03 8.45175e-18 1.01352e-17
3.29161e+03 -1.24198e-17 1.11360e-17
3.29261e+03 -1.85855e-18 1.16901e-17
3.29361e+03 6.80815e-17 1.09876e-17
3.29461e+03 -2.45462e-17 1.25489e-17
3.29561e+03 6.06927e-17 1.14336e-17
3.29661e+03 -1.03232e-19 1.23077e-17
3.29761e+03 1.58569e-17 1.20409e-17
3.29861e+03 3.68243e-17 1.22168e-17
3.29961e+03 1.37502e-17 1.09645e-17
3.30061e+03 2.61991e-18 1.20410e-17
3.30161e+03 -2.88801e-17 1.18191e-17
3.30261e+03 3.33906e-17 9.64530e-18
3.30361e+03 1.51612e-17 1.24665e-17
3.30461e+03 1.84031e-17 1.12329e-17
3.30561e+03 -1.55633e-17 1.14136e-17
3.30661e+03 -2.68936e-17 1.23677e-17
3.30761e+03 1.41077e-17 1.18943e-17
3.30861e+03 3.52327e-17 1.05904e-17
3.30961e+03 3.71730e-17 1.19150e-17
3.31061e+03 9.58183e-19 1.25158e-17
3.31161e+03 -5.77790e-18 1.07157e-17
3.31261e+03 -1.72043e-17 9.92059e-18
3.31361e+03 4.16936e-17 1.16721e-17
3.31461e+03 4.73646e-17 1.12267e-17
3.31561e+03 4.41602e-18 1.05594e-17
3.31661e+03 8.89550e-18 1.11939e-17
3.31762e+03 3.35812e-17 1.08623e-17
