# wavelength flux error
3.20509e+03 nan nan
3.21510e+03 nan nan
3.22510e+03 1.48584e-17 1.72858e-18
3.23510e+03 1.40021e-17 1.42652e-18
3.24510e+03 2.43783e-17 1.30530e-18
3.25510e+03 1.87656e-17 1.30703e-18
3.26511e+03 2.48217e-17 1.25804e-18
3.27511e+03 1.62863e-17 1.24876e-18
3.28511e+03 1.05351e-17 1.31968e-18
3.29511e+03 7.09944e-18 1.37655e-18
3.30511e+03 5.50602e-18 1.38117e-18
3.31511e+03 5.94046e-18 1.36259e-18
3.32512e+03 2.37561e-17 1.28256e-18
3.33512e+03 1.84913e-17 1.17228e-18
3.34512e+03 2.14595e-17 9.52700e-19
3.35512e+03 2.65907e-17 8.44275e-19
3.36512e+03 2.55793e-17 8.36876e-19
3.37513e+03 2.47228e-17 8.47746e-19
3.38513e+03 2.11648e-17 7.34681e-19
3.39513e+03 2.37936e-17 6.94531e-19
3.40513e+03 2.22914e-17 6.54724e-19
3.41513e+03 2.89079e-17 6.36268e-19
3.42514e+03 2.66385e-17 6.82517e-19
3.43514e+03 2.89630e-17 7.08608e-19
3.44514e+03 2.49431e-17 7.28435e-19
3.45514e+03 3.05555e-17 7.84514e-19
3.46514e+03 2.61912e-17 7.66951e-19
3.47514e+03 2.61825e-17 7.45132e-19
3.48515e+03 2.73625e-17 7.53946e-19
3.49515e+03 2.75108e-17 6.26842e-19
3.50515e+03 2.54564e-17 5.59369e-19
3.51515e+03 3.16605e-17 5.26864e-19
3.52515e+03 2.97307e-17 4.66308e-19
3.53516e+03 2.71863e-17 4.23671e-19
3.54516e+03 2.86617e-17 4.84952e-19
3.55516e+03 2.69025e-17 4.80385e-19
3.56516e+03 2.83755e-17 4.05566e-19
3.57516e+03 2.59112e-17 3.91643e-19
3.58516e+03 2.67812e-17 3.77210e-19
3.59517e+03 2.90349e-17 3.91249e-19
3.60517e+03 2.86057e-17 4.09240e-19
3.61517e+03 3.16561e-17 4.34476e-19
3.62517e+03 2.70686e-17 4.29844e-19
3.63517e+03 2.38505e-17 4.32330e-19
3.64518e+03 2.37371e-17 3.83527e-19
3.65518e+03 2.37681e-17 3.43594e-19
3.66518e+03 2.23029e-17 2.96979e-19
3.67518e+03 2.45447e-17 2.63240e-19
3.68518e+03 2.14910e-17 2.41930e-19
3.69519e+03 2.20054e-17 2.25262e-19
3.70519e+03 2.07105e-17 2.26786e-19
3.71519e+03 2.25428e-17 2.06148e-19
3.72519e+03 2.31573e-17 1.97452e-19
3.73519e+03 2.13150e-17 2.10955e-19
3.74519e+03 2.05627e-17 2.09443e-19
3.75520e+03 2.15717e-17 2.10868e-19
3.76520e+03 2.29329e-17 1.90446e-19
3.77520e+03 2.18322e-17 2.05108e-19
3.78520e+03 1.79532e-17 2.07276e-19
3.79520e+03 2.35117e-17 2.23845e-19
3.80521e+03 2.10620e-17 2.23709e-19
3.81521e+03 2.28719e-17 2.36079e-19
3.82521e+03 2.18418e-17 2.34335e-19
3.83521e+03 2.18163e-17 2.38222e-19
3.84521e+03 2.09828e-17 2.13827e-19
3.85521e+03 2.09748e-17 1.90620e-19
3.86522e+03 2.13553e-17 1.88266e-19
3.87522e+03 2.05095e-17 1.62993e-19
3.88522e+03 2.12947e-17 1.43991e-19
3.89522e+03 2.13359e-17 1.39918e-19
3.90522e+03 2.06824e-17 1.44109e-19
3.91523e+03 2.05459e-17 1.49268e-19
