# wavelength flux error
3.20109e+03 nan nan
3.20309e+03 nan nan
3.20509e+03 nan nan
3.20709e+03 nan nan
3.20909e+03 nan nan
3.21110e+03 nan nan
3.21310e+03 nan nan
3.21510e+03 nan nan
3.21710e+03 3.63581e-17 4.43261e-18
3.21910e+03 1.69776e-17 4.15899e-18
3.22110e+03 1.22881e-17 3.61848e-18
3.22310e+03 2.91008e-17 4.54664e-18
3.22510e+03 2.22212e-17 3.72337e-18
3.22710e+03 1.35142e-17 3.94177e-18
3.22910e+03 2.09485e-18 3.69025e-18
3.23110e+03 4.60596e-18 3.29096e-18
3.23310e+03 1.36315e-17 3.28766e-18
3.23510e+03 1.21666e-17 3.41361e-18
3.23710e+03 1.72127e-17 3.10568e-18
3.23910e+03 2.02079e-17 2.92268e-18
3.24110e+03 3.10420e-17 2.98316e-18
3.24310e+03 2.57782e-17 2.94602e-18
3.24510e+03 1.75726e-17 2.92522e-18
3.24710e+03 2.08488e-17 2.86524e-18
3.24910e+03 2.69905e-17 2.87887e-18
3.25110e+03 2.15975e-17 3.01033e-18
3.25310e+03 1.96087e-17 2.87613e-18
3.25510e+03 9.54076e-18 2.91918e-18
3.25710e+03 2.16113e-17 2.81617e-18
3.25910e+03 2.15594e-17 3.00570e-18
3.26110e+03 1.82339e-17 2.75545e-18
3.26310e+03 2.25726e-17 2.98966e-18
3.26511e+03 2.18613e-17 2.78447e-18
3.26711e+03 2.29346e-17 2.66440e-18
3.26911e+03 3.97430e-17 2.90596e-18
3.27111e+03 1.53783e-17 2.83071e-18
3.27311e+03 2.24807e-17 2.81678e-18
3.27511e+03 1.43017e-17 2.89756e-18
3.27711e+03 1.49900e-17 2.77069e-18
3.27911e+03 1.44277e-17 2.66250e-18
3.28111e+03 1.54057e-17 3.10195e-18
3.28311e+03 1.36157e-17 3.14667e-18
3.28511e+03 3.29086e-18 2.72009e-18
3.28711e+03 7.37195e-18 3.06420e-18
3.28911e+03 1.44426e-17 2.79928e-18
3.29111e+03 3.02822e-18 2.84545e-18
3.29311e+03 1.51592e-17 3.09204e-18
3.29511e+03 7.36898e-18 3.15443e-18
3.29711e+03 -5.61758e-19 3.27057e-18
3.29911e+03 1.04025e-17 3.07659e-18
3.30111e+03 -3.05737e-18 3.19344e-18
3.30311e+03 1.25677e-17 3.00412e-18
3.30511e+03 3.45725e-18 2.95334e-18
3.30711e+03 -5.38930e-18 3.22588e-18
